vADH,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,vPGI,vPYK,vPGM,vPGM,vPDC,vPGI,vSUC,vPGI,vENO,vPGI,vPDC,vSUC
2.0,vSUC,vPDC,vENO,vPGK,vENO,vSUC,vGAPDH,vSUC,vSUC,vSUC,vPYK,vGAPDH
3.0,vGLT,vPGK,vPDC,vPFK,vPYK,vTreha,vPGK,vGLT,vPGM,vTreha,vSUC,vALD
4.0,vPGM,vPGM,vPYK,vALD,vALD,vPGM,vPFK,vTreha,vPYK,vGLT,vPGI,vPGI
5.0,vTreha,vGAPDH,vPFK,vENO,vPFK,vGLK,vPGI,vPFK,vPGI,vPGK,vTreha,vPYK
6.0,vPDC,vENO,vPGK,vPGI,vGLK,vGLT,vALD,vPGM,vGLT,vPGM,vGLT,vPDC
7.0,vPFK,vPFK,vGLT,vGAPDH,vTreha,vPFK,vENO,vGLK,vTreha,vPFK,vGLK,vPFK
8.0,vGLK,vSUC,vSUC,vGLT,vSUC,vENO,vPYK,vALD,vPDC,vGLK,vPGK,vGLT
9.0,vENO,vALD,vGAPDH,vTreha,vPGI,vPYK,vG3PDH,vENO,vGLK,vGAPDH,vPGM,vTreha
10.0,vPYK,vTreha,vGLK,vG3PDH,vPGM,vG3PDH,vGLK,vGAPDH,vPFK,vG3PDH,vG3PDH,vG3PDH
11.0,vGAPDH,vPGI,vALD,vGLK,vGAPDH,vPDC,vPGM,vG3PDH,vG3PDH,vPDC,vGLYCO,vGLK
12.0,vG3PDH,vGLT,vPGI,vPDC,vGLYCO,vALD,vTreha,vPYK,vGAPDH,vENO,vGAPDH,vPGM
13.0,vPGK,vGLK,vTreha,vPYK,vPGK,vGAPDH,vPDC,vPGK,vGLYCO,vALD,vENO,vENO
14.0,vALD,vGLYCO,vG3PDH,vSUC,vG3PDH,vGLYCO,vGLT,vPDC,vPGK,vGLYCO,vALD,vGLYCO
15.0,vGLYCO,vG3PDH,vGLYCO,vGLYCO,vGLT,vPGK,vGLYCO,vGLYCO,vALD,vPYK,vPFK,vPGK
,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH
