vYAN,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,vWHI,vXRA,vOSC,vXRA,vOSC,vUNI,vQUE,vLIM,vVIC,vLIM,vXRA,vXRA
2.0,vQUE,vNOV,vXRA,vKIL,vKIL,vTAN,vPAP,vPAP,vQUE,vOSC,vQUE,vPAP
3.0,vLIM,vKIL,vROM,vQUE,vWHI,vQUE,vOSC,vQUE,vROM,vQUE,vNOV,vNOV
4.0,vXRA,vPAP,vWHI,vSIE,vNOV,vSIE,vLIM,vWHI,vUNI,vXRA,vWHI,vOSC
5.0,vROM,vQUE,vTAN,vNOV,vTAN,vWHI,vXRA,vZUL,vPAP,vZUL,vPAP,vKIL
6.0,vOSC,vROM,vNOV,vPAP,vVIC,vVIC,vROM,vVIC,vTAN,vNOV,vROM,vTAN
7.0,vNOV,vSIE,vSIE,vOSC,vQUE,vROM,vNOV,vROM,vLIM,vWHI,vUNI,vWHI
8.0,vPAP,vUNI,vUNI,vUNI,vZUL,vLIM,vWHI,vSIE,vWHI,vKIL,vLIM,vLIM
9.0,vSIE,vLIM,vQUE,vLIM,vPAP,vKIL,vKIL,vXRA,vSIE,vPAP,vSIE,vVIC
10.0,vZUL,vWHI,vKIL,vVIC,vROM,vNOV,vSIE,vUNI,vZUL,vROM,vTAN,vZUL
11.0,vKIL,vOSC,vLIM,vROM,vUNI,vXRA,vVIC,vTAN,vOSC,vTAN,vKIL,vUNI
12.0,vUNI,vZUL,vVIC,vZUL,vSIE,vZUL,vTAN,vOSC,vXRA,vUNI,vOSC,vMIK
13.0,vTAN,vVIC,vZUL,vMIK,vXRA,vPAP,vZUL,vNOV,vNOV,vMIK,vVIC,vQUE
14.0,vVIC,vMIK,vPAP,vTAN,vLIM,vOSC,vUNI,vKIL,vKIL,vSIE,vMIK,vSIE
15.0,vMIK,vTAN,vMIK,vWHI,vMIK,vMIK,vMIK,vMIK,vMIK,vVIC,vZUL,vROM
,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN
