,r,p-value,lower,upper
0.1x,-0.06785714285714285,0.8101088187105131,-0.5452297546590161,0.44274875271966374
0.2x,0.2071428571428571,0.4588428049634704,-0.3215921785859246,0.6374048386814333
0.3x,0.2714285714285714,0.3277893068411728,-0.2591535700381287,0.6761632422826053
0.4x,0.7714285714285712,0.0007568751073803471,0.4464359813207298,0.9166196167336529
0.5x,0.6892857142857142,0.0044737344509062004,0.29404414628798964,0.8832148449800625
1.01x,0.175,0.5327481481378592,-0.35117741780123707,0.6171732392030356
1.5x,0.6607142857142856,0.007330569830891703,0.24536423848611516,0.8711154393470548
3x,0.28571428571428564,0.3019363513225493,-0.24464872742268207,0.6844823733753762
5x,0.5285714285714286,0.04279728930945035,0.04452498593437464,0.8116230894201492
7x,0.27499999999999997,0.3212111733193767,-0.2555496588316766,0.6782527460423464
10x,0.06428571428571428,0.8199479653196377,-0.44562809424502864,0.5427040885745464
