e_v2,e_v3,e_v13,e_v4,e_v5,e_v6,e_v7,e_v8,e_v9,e_v10,e_v11,e_v12,e_v14,e_v15,e_v16,e_v17,e_v18,e_v19,e_v21,e_v1,e_v20,e_v22,A,J,P,Q,D,B,O,F,H,M,E,R,I,C,N,G,L,v_v2,v_v3,v_v13,v_v4,v_v5,v_v6,v_v7,v_v8,v_v9,v_v10,v_v11,v_v12,v_v14,v_v15,v_v16,v_v17,v_v18,v_v19,v_v21
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.326786161737047,1.960577446141907,0.10213336533645448,0.26232507081847334,1.5855082550745845,0.019975451463358444,2.108735266951518,3.2623906492493986,3.661550210532003,1.6130131207470486,0.08446011378825283,0.5174526588279609,0.021752847738843017,3.5713899661702153,0.8133356197113889,0.8133356197113888,2.758054346458827,2.7580543464588265,1.519153426828202,1.5191534268282028,0.10186740498177889,1.1370335146488455,1.1370335146488457,1.1370335146488453,1.1370335146488457,0.04845697481481663,0.05341043016696233,0.05341043016696229,0.05341043016696236,0.0534104301669623,0.07138408241530876,-0.01797365224834643
0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.03571203308235114,0.02775550218730106,0.08245300649490533,0.008069374536401299,0.23377052972721385,0.012311759506764799,0.06713947496398555,0.024832414786084892,0.8350409503998989,0.028601377239285602,0.06277001565407289,0.05688588837401819,0.010715312757771166,0.47598409692703786,0.08907205295450128,0.08907205295450131,0.3869120439725367,0.38691204397253665,0.3088202782987791,0.30882027829877906,0.00481886041480284,0.07327290525895473,0.07327290525895477,0.07327290525895466,0.07327290525895472,0.00205533814278228,0.002763522272020559,0.00276352227202057,0.0027635222720205676,0.002763522272020494,0.021961497986784224,-0.019197975714763643
1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.7273415057901866,2.7925512311426077,0.10511062263664574,0.33338393654797394,1.8475466424101485,0.021159902724533983,2.7260820831415016,0.09127891205871644,4.122875730876038,2.194569495766843,0.08777474095279891,0.6192099548253018,0.02345867383492069,3.1793271590798007,0.2568405896489313,0.2568405896489313,2.922486569430869,2.9224865694308684,1.5648268833208736,1.564826883320874,0.11811127603024972,1.239548410079745,1.2395484100797451,1.2395484100797445,1.2395484100797447,0.057191143606769364,0.060920132423480336,0.060920132423480364,0.06092013242348033,0.060920132423480315,0.07870896416363253,-0.017788831740152215
1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.86048732010699,3.0868732358752657,0.10597377249485933,0.3565048647158577,1.9292797367917747,0.021504522685849296,2.9310618738944902,21.92280092825895,4.264056641974144,2.3937837269113404,0.0887373163739719,0.6515402256052052,0.023955003557965256,3.0535079642509255,0.08589331204747795,0.08589331204747777,2.9676146522034474,2.9676146522034474,1.5761466578110916,1.576146657811091,0.12286049517633008,1.2686074992160272,1.2686074992160274,1.268607499216028,1.268607499216027,0.0597705133489001,0.06308998182742995,0.06308998182742995,0.06308998182743,0.06308998182743,0.08082525084773796,-0.017735269020307982
1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.08870328611992213,7.445291584351117,0.08409295105323546,0.019760756080050575,0.3589372893324723,0.012939350392059613,0.16078596457386587,13.193981728340015,1.1631236096455764,0.07828614628429957,0.06456264080519852,0.09313433914863324,0.011619359353656461,1.7160892599199278,0.8533993904116941,0.853399390411694,0.8626898695082343,0.8626898695082337,0.593076114547168,0.593076114547169,0.011998950108768261,0.2576148048522968,0.25761480485229704,0.2576148048522969,0.2576148048522968,0.004947044700801895,0.007051905407966377,0.007051905407966366,0.00705190540796632,0.007051905407966483,0.026147685485803405,-0.019095780077837025
1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,0.0742132782656943,7.933017660312796,0.08366336974728344,0.01658059391732038,0.32837207775786514,0.012774759939401255,0.13566095778268156,14.078422409928862,1.085700569389762,23.402271204146693,0.06409280246803925,0.08410954150939923,0.011382271443839558,1.6091502009912042,0.8542677665911416,0.8542677665911411,0.7548824344000651,0.7548824344000642,0.5284848390714706,0.5284848390714703,0.010100110189971912,0.21629748513862213,0.21629748513862174,0.21629748513862215,0.21629748513862204,0.004170325389496559,0.005929784800475344,0.005929784800475347,0.0059297848004753505,0.0059297848004753245,0.025052331826952764,-0.019122547026477428
1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,3.0556339339987533,2.8488386289229606,0.11193852857373929,0.5558326190322649,2.584039684962158,0.02390110839409506,0.21147688496249412,4.865860235892665,5.359073611844392,3.0186684722865333,0.09540891163182944,0.9193336358939507,0.02740688098654452,3.154783320128656,0.83040218480966,0.83040218480966,2.324381135318996,2.3243811353189963,0.7045182844379825,0.7045182844379824,0.15594449479871672,1.463918356082297,1.4639183560822964,1.4639183560822973,1.4639183560822968,0.07794904326388417,0.0779954515348326,0.0779954515348325,0.07799545153483256,0.07799545153483264,0.09536081621296279,-0.0173653646781302
1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,5.110984442618396,3.55916833526342,0.11826390995076498,0.8768010065373565,3.5207776086098437,0.026471393505040054,10.584009236247631,6.151017634994698,6.847813651829982,4.464117254988235,0.10252132503130022,1.3245577056106108,0.03110965385860726,2.8638892750734697,0.8378759706687312,0.8378759706687317,2.026013304404737,2.026013304404738,0.1693985236758789,0.1693985236758814,0.19096398487325442,1.6656507958556006,1.6656507958556082,1.665650795855602,1.6656507958556028,0.0973301221373962,0.09363386273585823,0.09363386273585822,0.09363386273585822,0.09363386273585829,0.11060741317771956,-0.01697355044186133
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,1.4059993206156687,2.0123440004917192,0.09036191380885793,0.0770219720091421,1.6395374620446146,0.015356898847822391,2.2309243843404305,3.3556450050608366,3.75784956290701,1.6838657002936621,0.07144019479511139,0.5381866463166987,0.015101430072599032,3.545273697928646,0.8147477436790413,0.8147477436790418,2.730525954249604,2.7305259542496043,1.5299536629835608,1.5299536629835624,0.04111994947539427,1.159452341790647,1.1594523417906473,1.1594523417906475,1.1594523417906473,0.017790200676935295,0.023329748798458966,0.02332974879845897,0.02332974879845894,0.02332974879845904,0.04203516084454562,-0.018705412046086643
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.32,0.53,2.26,3.5982465454497707,3.0606197411403833,0.11394816653154749,0.6426696956413718,0.4883406662320323,0.02471450275834535,5.602017738074928,5.248850638869481,1.4759531476202095,3.4175353226891976,0.09766443663830734,0.1324599897712815,0.0285785700527801,3.0644824613008095,0.8329970734106735,0.8329970734106734,2.2314853878901344,2.2314853878901357,1.6519189319632905,1.6519189319632903,0.16711536665520899,0.4124510892716356,0.4124510892716356,0.4124510892716356,0.4124510892716356,0.08413279660182765,0.08298257005338139,0.08298257005338139,0.08298257005338144,0.08298257005338142,0.10022340072178959,-0.01724083066840822
