v_ACE_OUT,gt,0.5x,1.5x
1.0,vACS,vXCH_ACE1,vGLT
2.0,vGLT,vATP_MAINTENANCE,vACS
3.0,vACK,vGLT,vXCH_ACE1
4.0,vGLC_feed,vACS,vPTA
5.0,vATP_MAINTENANCE,vGLC_feed,vACK
6.0,vATP_syn,vPTA,vGLC_feed
7.0,vPTA,vADK,vATP_MAINTENANCE
8.0,vNADH_req,vACK,vXCH_ACE2
9.0,vGROWTH,vATP_syn,vADK
10.0,vNDHII,vPFK,vENO
11.0,vDOS,vNADH_req,vPYK
12.0,vCYA,vCYTBO,vATP_syn
13.0,vPIT,vICD,vACEA
14.0,vPYK,vMQO,vPIT
15.0,vPCK,vCYA,vGPM
16.0,vLPD,vMDH,vCYA
17.0,vZWF,vFUMA,vCYTBO
18.0,vMQO,vPPC,vSDH
19.0,vGDH,vACN_1,vPGK
20.0,vMDH,vGROWTH,vXCH_P
21.0,vEDD,vACN_2,vGDH
22.0,vGND,vPGI,vPFK
23.0,vCYTBO,vGDH,vXCH_GLC
24.0,vACEA,vXCH_ACE2,vPCK
25.0,vS7P_E4P_TAL,vNDHII,vICD
26.0,vMAD,vPNT_req,vPDH
27.0,vPDH,vEDD,vPTS_0
28.0,vSDH,vXCH_GLC,vTPI
29.0,vPPC,vPDH,vDOS
30.0,vICD,vACEA,vNDHII
31.0,vACEK_1,vLPD,vACN_2
32.0,vACEK_2,vPYK,vSQR
33.0,vPGI,vTPI,vACEB
34.0,vADK,vRPI,vNADH_req
35.0,vEDA,vZWF,vZWF
36.0,vACEB,vFBA,vRPE
37.0,vRPI,vPIT,vPGI
38.0,vFBA,vENO,vPGL
39.0,vENO,vGND,vPPC
40.0,vSQR,vSQR,vEDD
41.0,vPNT_req,vPCK,vRPI
42.0,vX5P_GAP_TKT,vRPE,vPNT_req
43.0,vXCH_ACE2,vF6P_GAP_TAL,vMQO
44.0,vXCH_ACE1,vSK,vGROWTH
45.0,vF6P_GAP_TAL,vMAD,vPTS_1
46.0,vF6P_E4P_TKT,vS7P_E4P_TAL,vMDH
47.0,vPTS_1,vF6P_E4P_TKT,vLPD
48.0,vRPE,vGPM,vFBA
49.0,vPFK,vXCH_P,vMAD
50.0,vGPM,vACEK_1,vGND
51.0,vACN_1,vPTS_1,vX5P_GAP_TKT
52.0,vACN_2,vSDH,vSK
53.0,vTPI,vDOS,vPTS_3
54.0,vS7P_R5P_TKT,vACEK_2,vPTS_4
55.0,vFBP,vPTS_4,vPTS_2
56.0,vPGL,vPTS_2,vACEK_2
57.0,vPTS_2,vPTS_0,vACEK_1
58.0,vFUMA,vPGK,vF6P_GAP_TAL
59.0,vPTS_0,vEDA,vFUMA
60.0,vSK,vPTS_3,vS7P_E4P_TAL
61.0,vXCH_P,vX5P_GAP_TKT,vEDA
62.0,vPGK,vACEB,vF6P_E4P_TKT
63.0,vPPS,vPGL,vS7P_R5P_TKT
64.0,vGL6P_HYDROLYSIS,vS7P_R5P_TKT,vACN_1
65.0,vPTS_4,vPPS,vPPS
66.0,vPTS_3,vFBP,vFBP
67.0,vXCH_GLC,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS
,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT
