v19,gt,1.5x-pr,a05,b05,c05,d05,e05,f05,g05,h05,i05,j05,k05
1.0,v18,v18,v18,v18,v18,v5,v18,v18,v1,v18,v18,v1,v18
2.0,v1,v15,v1,v15,v1,v9,v14,v14,v18,v14,v1,v7,v15
3.0,v14,v16,v14,v1,v7,v18,v1,v1,v7,v7,v7,v4,v14
4.0,v7,v14,v7,v7,v14,v7,v7,v7,v14,v1,v14,v18,v5
5.0,v4,v17,v5,v14,v4,v8,v4,v4,v3,v4,v3,v14,v8
6.0,v5,v8,v4,v5,v5,v4,v5,v10,v4,v5,v4,v2,v16
7.0,v12,v4,v8,v4,v12,v2,v8,v8,v12,v9,v5,v9,v10
8.0,v3,v1,v15,v8,v15,v3,v15,v9,v2,v8,v9,v12,v13
9.0,v9,v5,v9,v16,v3,v1,v12,v5,v11,v15,v8,v11,v17
10.0,v8,v6,v3,v17,v11,v13,v9,v6,v5,v12,v12,v5,v12
11.0,v13,v13,v13,v11,v8,v10,v13,v13,v8,v3,v15,v10,v3
12.0,v11,v7,v10,v9,v10,v14,v3,v3,v10,v13,v2,v15,v2
13.0,v10,v11,v12,v3,v13,v12,v11,v16,v13,v10,v13,v17,v6
14.0,v15,v12,v6,v10,v6,v6,v10,v17,v6,v11,v11,v13,v7
15.0,v16,v10,v11,v13,v9,v11,v6,v2,v15,v6,v10,v8,v1
16.0,v6,v3,v16,v6,v17,v16,v16,v11,v9,v16,v6,v6,v9
17.0,v17,v9,v17,v12,v2,v15,v2,v12,v17,v2,v17,v16,v11
18.0,v2,v2,v2,v2,v16,v17,v17,v15,v16,v17,v16,v3,v4
,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19
