v_ACE_OUT,gt,0.5x-pr,1.5x-pr,0.5x-post,1.5x-post
1.0,vACS,vATP_MAINTENANCE,vXCH_ACE2,vXCH_ACE1,vXCH_ACE2
2.0,vGLT,vNDHII,vATP_MAINTENANCE,vXCH_ACE2,vXCH_ACE1
3.0,vACK,vPNT_req,vXCH_ACE1,vADK,vACS
4.0,vGLC_feed,vXCH_ACE1,vACS,vACK,vACK
5.0,vATP_MAINTENANCE,vXCH_P,vNDHII,vACS,vPDH
6.0,vATP_syn,vPIT,vPIT,vATP_syn,vPTA
7.0,vPTA,vATP_syn,vACK,vATP_MAINTENANCE,vATP_syn
8.0,vNADH_req,vACEA,vXCH_P,vPTA,vATP_MAINTENANCE
9.0,vGROWTH,vXCH_ACE2,vADK,vPDH,vSDH
10.0,vNDHII,vADK,vPTA,vPIT,vSK
11.0,vDOS,vPGI,vACN_1,vACEA,vLPD
12.0,vCYA,vGLT,vGLT,vCYA,vSQR
13.0,vPIT,vACK,vACN_2,vGROWTH,vADK
14.0,vPYK,vZWF,vACEB,vXCH_P,vPNT_req
15.0,vPCK,vPTA,vCYTBO,vACN_2,vPYK
16.0,vLPD,vACN_1,vSQR,vACEB,vACN_2
17.0,vZWF,vLPD,vSDH,vNDHII,vPFK
18.0,vMQO,vACN_2,vMQO,vPFK,vPIT
19.0,vGDH,vACS,vFUMA,vSDH,vACEA
20.0,vMDH,vACEB,vPNT_req,vDOS,vCYTBO
21.0,vEDD,vMQO,vMDH,vICD,vACEB
22.0,vGND,vSK,vACEA,vLPD,vACN_1
23.0,vCYTBO,vICD,vPDH,vACN_1,vFUMA
24.0,vACEA,vPTS_0,vPGL,vCYTBO,vFBA
25.0,vS7P_E4P_TAL,vMDH,vATP_syn,vSK,vNDHII
26.0,vMAD,vPTS_1,vZWF,vGLC_feed,vGLT
27.0,vPDH,vFUMA,vENO,vZWF,vGDH
28.0,vSDH,vPFK,vCYA,vPCK,vICD
29.0,vPPC,vSDH,vGPM,vPYK,vENO
30.0,vICD,vGLC_feed,vGND,vRPI,vTPI
31.0,vACEK_1,vTPI,vPTS_4,vGLT,vPGI
32.0,vACEK_2,vGND,vICD,vGDH,vPTS_3
33.0,vPGI,vPTS_3,vXCH_GLC,vFUMA,vXCH_P
34.0,vADK,vXCH_GLC,vPTS_3,vTPI,vPTS_4
35.0,vEDA,vFBA,vPTS_0,vPGI,vGPM
36.0,vACEB,vSQR,vGLC_feed,vEDD,vMQO
37.0,vRPI,vPTS_2,vPYK,vS7P_R5P_TKT,vNADH_req
38.0,vFBA,vNADH_req,vPPC,vMQO,vMDH
39.0,vENO,vPTS_4,vPTS_1,vNADH_req,vX5P_GAP_TKT
40.0,vSQR,vPPC,vPTS_2,vENO,vRPE
41.0,vPNT_req,vPGK,vGDH,vXCH_GLC,vDOS
42.0,vX5P_GAP_TKT,vGDH,vGROWTH,vF6P_E4P_TKT,vPGK
43.0,vXCH_ACE2,vPGL,vNADH_req,vMDH,vF6P_GAP_TAL
44.0,vXCH_ACE1,vCYA,vPGK,vGND,vPTS_0
45.0,vF6P_GAP_TAL,vX5P_GAP_TKT,vS7P_E4P_TAL,vPTS_0,vPTS_1
46.0,vF6P_E4P_TKT,vRPE,vDOS,vF6P_GAP_TAL,vF6P_E4P_TKT
47.0,vPTS_1,vGPM,vF6P_GAP_TAL,vACEK_1,vPTS_2
48.0,vRPE,vGROWTH,vPCK,vACEK_2,vACEK_1
49.0,vPFK,vENO,vRPE,vMAD,vACEK_2
50.0,vGPM,vF6P_E4P_TKT,vSK,vPNT_req,vPCK
51.0,vACN_1,vEDD,vLPD,vPTS_3,vXCH_GLC
52.0,vACN_2,vPYK,vF6P_E4P_TKT,vFBA,vMAD
53.0,vTPI,vPDH,vTPI,vPPC,vGLC_feed
54.0,vS7P_R5P_TKT,vS7P_R5P_TKT,vEDD,vGPM,vGROWTH
55.0,vFBP,vMAD,vFBA,vPTS_2,vEDA
56.0,vPGL,vEDA,vS7P_R5P_TKT,vSQR,vZWF
57.0,vPTS_2,vDOS,vPGI,vEDA,vS7P_R5P_TKT
58.0,vFUMA,vRPI,vMAD,vPGL,vS7P_E4P_TAL
59.0,vPTS_0,vPCK,vEDA,vRPE,vPGL
60.0,vSK,vS7P_E4P_TAL,vACEK_2,vPTS_4,vEDD
61.0,vXCH_P,vACEK_1,vX5P_GAP_TKT,vX5P_GAP_TKT,vGND
62.0,vPGK,vACEK_2,vRPI,vS7P_E4P_TAL,vPPC
63.0,vPPS,vF6P_GAP_TAL,vACEK_1,vPTS_1,vRPI
64.0,vGL6P_HYDROLYSIS,vFBP,vPPS,vPGK,vPPS
65.0,vPTS_4,vPPS,vFBP,vPPS,vFBP
66.0,vPTS_3,vCYTBO,vPFK,vFBP,vCYA
67.0,vXCH_GLC,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS
,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT
