,r,p-value,lower,upper
0.1x,-0.007223942208462332,0.9773044881689206,-0.4968559996861883,0.4934554973821988
0.2x,0.3353973168214654,0.17363506116754218,-0.13909003641178416,0.6924849460937328
0.3x,0.29411764705882354,0.23614329729664102,-0.25981576943067,0.7280476672985038
0.4x,0.11867905056759545,0.6390493358496443,-0.3856364556429619,0.6067637877211238
0.5x,-0.05675954592363261,0.8229893024799763,-0.57125956412362,0.4295116575235109
1.5x,0.013415892672858616,0.9578637574487228,-0.550035046728972,0.5604344631661443
3x,0.3333333333333333,0.17646319681352732,-0.15989653209075858,0.750360813265495
5x,0.24664602683178533,0.32380881293776365,-0.3387808916918973,0.6545859656302927
7x,0.034055727554179564,0.893282818838896,-0.4853676125162997,0.5127189833901922
10x,0.4262125902992776,0.07778293683965698,-0.032435358622734625,0.7835700307852564
