,r,p-value,lower,upper
0.1x,-0.15583075335397317,0.5369306230900768,-0.6751337725866028,0.40256254805701774
0.2x,0.1413828689370485,0.5757540929543488,-0.32570366716369387,0.5860350698889958
0.3x,-0.08565531475748193,0.7354104124232369,-0.5178026463963965,0.462329381332653
0.4x,-0.005159958720330237,0.9837879533049654,-0.544723092998955,0.5053800675675674
0.5x,0.0608875128998968,0.8103299008966292,-0.5178496868475991,0.5967747724089635
1.01x,0.15995872033023736,0.5260613631447346,-0.4098693300312825,0.6068578195456121
1.5x,0.413828689370485,0.08778525139466084,-0.06208916885412496,0.7322315493400652
3x,0.09184726522187822,0.7170028416617739,-0.4521020047169812,0.5797458346754121
5x,-0.05675954592363261,0.8229893024799763,-0.6356306222605996,0.5042774915721525
7x,0.23632610939112486,0.34510124880977866,-0.2903755421628742,0.7319581589043492
10x,0.3065015479876161,0.21606379461125766,-0.2534712023844968,0.7866386347902943
