,r,p-value,lower,upper
0.1x,-0.021428571428571425,0.9395779040128779,-0.5344359256310969,0.5429951634924675
0.2x,0.36785714285714277,0.17734214689349137,-0.18265289562757916,0.7608695652173916
0.3x,0.2607142857142857,0.34797945986279355,-0.31278705083623115,0.717961608775137
0.4x,0.7928571428571427,0.0004220771851923507,0.48641170919074456,0.9351971237292337
0.5x,0.5392857142857141,0.03802165626355798,-0.032310402342457335,0.9170323523782496
1.01x,0.2714285714285714,0.3277893068411728,-0.41267635866913843,0.741415670173125
1.5x,0.6,0.01805008794149996,0.06894021294021296,0.8879449305929763
3x,0.3107142857142856,0.2596673973372179,-0.22861060329067645,0.676587809036658
5x,0.22142857142857136,0.42771371901637,-0.43945042993014666,0.7577322898447613
7x,0.4142857142857142,0.12471544223657097,-0.20736117936117937,0.8913043478260871
10x,0.3428571428571428,0.21092379341475206,-0.2807738841262679,0.7443587223587221
